DATETIME,Actual_Temperature,Predicted_Temperature,Actual_Humidity,Predicted_Humidity
2023-11-26 15:14:27,32.2,,71.9,
2023-11-26 15:15:27,32.2,,71.5,
2023-11-26 15:16:27,32.4,,71.2,
2023-11-26 15:17:27,32.4,,71.6,
2023-11-26 15:18:27,32.3,,71.3,
2023-11-26 15:19:27,32.4,,71.3,
2023-11-26 15:20:27,32.4,,71.1,
2023-11-26 15:21:27,32.4,,71.1,
2023-11-26 15:22:27,32.4,,71.2,
2023-11-26 15:23:27,32.4,,71.2,
2023-11-26 15:24:27,32.3,,71.3,
2023-11-26 15:25:28,32.3,,71.4,
2023-11-26 15:26:28,32.2,,71.1,
2023-11-26 15:27:28,32.2,,71.2,
2023-11-26 15:28:28,32.3,,70.8,
2023-11-26 15:29:28,32.2,,71.1,
2023-11-26 15:30:28,32.2,,71.0,
2023-11-26 15:31:28,32.2,,70.8,
2023-11-26 15:32:28,32.1,,71.2,
2023-11-26 15:33:28,32.2,,70.9,
2023-11-26 15:34:28,32.2,,71.0,
2023-11-26 15:35:28,32.1,,71.0,
2023-11-26 15:36:28,32.2,,71.3,
2023-11-26 15:37:28,32.2,,71.1,
2023-11-26 15:38:28,32.2,,70.7,
2023-11-26 15:39:28,32.2,,70.8,
2023-11-26 15:40:28,32.2,,70.8,
2023-11-26 15:41:28,32.2,,70.8,
2023-11-26 15:42:28,32.2,,70.8,
2023-11-26 15:43:28,32.2,,70.8,
2023-11-26 15:44:28,32.2,,71.2,
2023-11-26 15:45:28,32.1,,71.1,
2023-11-26 15:46:28,32.1,,71.2,
2023-11-26 15:47:28,32.1,,71.3,
2023-11-26 15:48:28,32.0,,71.7,
2023-11-26 15:49:28,32.1,,71.7,
2023-11-26 15:50:28,32.0,,71.8,
2023-11-26 15:51:28,32.0,,72.1,
2023-11-26 15:52:28,32.0,,72.6,
2023-11-26 15:53:28,32.0,,72.6,
2023-11-26 15:54:28,32.0,,72.1,
2023-11-26 15:55:28,32.0,,72.6,
2023-11-26 15:56:28,32.0,,72.6,
2023-11-26 15:57:28,32.0,,72.8,
2023-11-26 15:58:28,32.0,,72.5,
2023-11-26 15:59:28,32.1,,72.5,
2023-11-26 16:00:28,32.2,,72.5,
2023-11-26 16:01:28,32.2,,72.3,
2023-11-26 16:02:28,32.2,,71.7,
2023-11-26 16:03:28,32.2,,72.2,
2023-11-26 16:04:28,32.2,,72.0,
2023-11-26 16:05:28,32.2,,71.8,
2023-11-26 16:06:28,32.2,,71.7,
2023-11-26 16:07:28,32.1,,72.0,
2023-11-26 16:08:28,32.2,,71.9,
2023-11-26 16:09:28,32.1,,72.3,
2023-11-26 16:10:28,32.1,,72.2,
2023-11-26 16:11:28,32.1,,72.9,
2023-11-26 16:12:28,32.1,,72.8,
2023-11-26 16:13:28,32.2,,72.9,
2023-11-26 16:14:28,32.0,,72.8,
2023-11-26 16:15:28,32.1,,72.8,
2023-11-26 16:16:28,32.0,,73.2,
2023-11-26 16:17:28,31.9,,73.7,
2023-11-26 16:18:28,32.0,,73.6,
2023-11-26 16:19:28,32.1,,73.7,
2023-11-26 16:20:28,32.0,,73.9,
2023-11-26 16:21:28,32.1,,73.7,
2023-11-26 16:22:28,32.0,,74.0,
2023-11-26 16:23:28,31.9,,74.2,
2023-11-26 16:24:28,32.0,,74.2,
2023-11-26 16:25:28,32.1,,74.5,
2023-11-26 16:26:28,32.1,,74.3,
2023-11-26 16:27:28,32.2,,74.4,
2023-11-26 16:28:28,32.6,,73.7,
2023-11-26 16:29:28,32.9,,72.7,
2023-11-26 16:30:28,33.0,,72.5,
2023-11-26 16:31:28,33.2,,71.7,
2023-11-26 16:32:28,33.2,,71.8,
2023-11-26 16:33:28,33.2,,71.7,
2023-11-26 16:34:28,33.1,,72.1,
2023-11-26 16:35:28,33.2,,71.7,
2023-11-26 16:36:28,33.2,,71.5,
2023-11-26 16:37:28,33.2,,71.5,
2023-11-26 16:38:28,33.2,,72.0,
2023-11-26 16:39:28,33.2,,71.8,
2023-11-26 16:40:28,33.3,,71.5,
2023-11-26 16:41:28,33.3,,71.4,
2023-11-26 16:42:28,33.3,,70.9,
2023-11-26 16:43:28,33.4,,71.7,
2023-11-26 16:44:28,33.4,,71.7,
2023-11-26 16:45:28,33.4,,71.1,
2023-11-26 16:46:28,33.2,,71.5,
2023-11-26 16:47:28,33.1,,71.8,
2023-11-26 16:48:28,33.0,,71.9,
2023-11-26 16:49:28,33.1,,72.0,
2023-11-26 16:50:28,33.0,,72.0,
2023-11-26 16:51:28,33.0,,72.1,
2023-11-26 16:52:28,33.0,,72.1,
2023-11-26 16:53:28,33.0,,72.5,
2023-11-26 16:54:28,33.1,,71.9,
2023-11-26 16:55:28,33.1,,71.9,
2023-11-26 16:56:28,33.0,,72.0,
2023-11-26 16:57:28,33.1,,72.4,
2023-11-26 16:58:28,33.1,,72.2,
2023-11-26 16:59:28,33.1,,71.8,
2023-11-26 17:00:28,33.1,,72.0,
2023-11-26 17:01:28,33.1,,72.6,
2023-11-26 17:02:28,33.1,,72.2,
2023-11-26 17:03:28,32.6,,73.5,
2023-11-26 17:04:28,32.2,,74.7,
2023-11-26 17:05:28,32.0,,75.4,
2023-11-26 17:06:28,31.9,,75.7,
2023-11-26 17:07:28,31.9,,75.8,
2023-11-26 17:08:28,31.9,,76.1,
2023-11-26 17:09:28,31.9,,76.1,
2023-11-26 17:10:28,32.0,,76.0,
2023-11-26 17:11:28,1.9,,76.2,
2023-11-26 17:12:28,31.9,,76.1,
2023-11-26 17:13:28,31.8,,76.4,
,,30.60729221665356,,66.64605165920284
,,30.613929688996606,,66.57876354275885
,,30.459830672511146,,66.69390582018211
,,30.714561327762866,,66.77664684537858
,,30.515158195770375,,66.93965296969733
,,30.36975469330181,,67.06601690306641
,,30.41207835502094,,66.7822873525915
,,30.552173920335793,,67.22439792763903
,,30.4001261664249,,67.08890393870252
,,30.944770184297333,,67.11604879094956
,,30.56200092068027,,65.99380011113465
,,30.423490148422747,,67.09361121460829
,,30.35924275967655,,66.52619443293663
,,30.772745506622215,,66.6831269067249
,,30.783828562641514,,67.01748219663719
,,30.52753206728333,,66.2203170580849
,,30.49328864970944,,66.3603228837012
,,30.442156518573388,,67.40641954362943
,,30.5377611669284,,66.84226071372659
,,30.414255725329717,,66.18384354898757
,,30.66606048959547,,66.56052250334214
,,30.530456793680777,,67.1791616505269
,,30.70901342122804,,66.98916015266565
,,30.49984272773577,,66.79094384244738
,,30.60613663573607,,66.64259287578722
,,30.617395280408594,,66.54810238751534
,,30.460693669411246,,66.73059605927223
,,30.710844502192437,,66.78475586906525
,,30.515270134775612,,66.94960125420802
,,30.369056176864518,,67.10835593522353
,,30.412251966722163,,66.68170142453181
,,30.549511531607273,,67.20419749011874
,,30.39940947872721,,67.12485671056041
,,30.945223386600635,,67.06098955708903
,,30.561426703380054,,66.03359528393099
,,30.425451833238,,67.08684306365117
,,30.358969342716964,,66.50287573378499
,,30.77312214125634,,66.63297965194127
,,30.78078825477353,,66.97638127532663
,,30.52691864268078,,66.27853235410117
,,30.49287520303198,,66.39804962701989
,,30.441354854078458,,67.33746560349263
,,30.537799752543613,,66.90573826826085
,,30.414128884177547,,66.23380503043168
,,30.666441123877057,,66.60523241591426
,,30.530619409557303,,67.19423587493459
,,30.708411076336322,,66.95371159182866
,,30.49912620961953,,66.76867479584715
,,30.605779695066765,,66.64356278396599
,,30.61703557489066,,66.54928340781488
,,30.4603355210263,,66.73125437898578
,,30.71048909391648,,66.78563600182645
,,30.514912435748798,,66.95046711283698
,,30.368698962733404,,67.10897041579354
,,30.411894230796555,,66.6834251168887
,,30.54915549246147,,67.2052973268981
,,30.399052275467966,,67.12552075360843
,,30.944865483395894,,67.06235992595543
,,30.56106941488073,,66.03422950688038
,,30.425093027507767,,67.08783865516396
,,30.358611874248716,,66.50399977076391
,,30.772764283862056,,66.63431189992887
,,30.780432441736846,,66.97764331654487
,,30.526561377639197,,66.27902362218983
,,30.492517818343554,,66.39869990263327
,,30.440997701660855,,67.33894380637176
,,30.537442097404142,,66.90618869702256
,,30.413771328012956,,66.23436035471032
,,30.666083264089778,,66.60582849655962
,,30.530261680210494,,67.19506195217801
,,30.70805380466574,,66.9549297662174
,,30.498769006258822,,66.76979068668435
,,30.605422276570778,,66.64449832196267
,,30.616678158048884,,66.55021730741298
,,30.459978103252887,,66.7321923351577
,,30.710131674503664,,66.78657223655205
,,30.514555017706535,,66.95140345834122
,,30.368341544401034,,67.1099087121922
,,30.411536812776376,,66.68435480491841
,,30.548798073426106,,67.20623185654512
,,30.398694857129094,,67.12645866536269
,,30.944508065475794,,67.06329235605749
,,30.56071199659286,,66.03516765006243
,,30.424735610127655,,67.08877399383748
,,30.358254456068522,,66.50493411259808
,,30.772406865914554,,66.6352446258794
,,30.780075022566205,,66.97857658735595
,,30.52620395933729,,66.27996287481568
,,30.49216040011323,,66.39963792123383
,,30.440640283291565,,67.3398753995958
,,30.53708467933563,,66.90712826659423
,,30.41341390988523,,66.23529911020904
,,30.665725846143708,,66.60676693575641
,,30.52990426218638,,67.19599860641759
,,30.707696386367804,,66.95586337747014
,,30.49841158792001,,66.77072509173908
,,30.605064858360684,,66.64543412669941
,,30.6163207398378,,66.551153124865
,,30.45962068504236,,66.73312812112748
,,30.709774256294118,,66.7875080358816
,,30.51419759949617,,66.95233925681104
,,30.36798412619084,,67.11084449552152
,,30.411179394565995,,66.68529065505555
,,30.548440655216332,,67.20716766910743
,,30.398337438918904,,67.12739445167716
,,30.944150647265356,,67.06422818491396
,,30.560354578382636,,66.03610343458082
,,30.42437819191689,,67.0897098001211
,,30.357897037858237,,66.50586992661795
,,30.77204944770413,,66.63618045243982
,,30.77971760435651,,66.97951240968784
,,30.525846541127077,,66.28089865072391
,,30.491802981902975,,66.40057370671906
,,30.44028286508139,,67.3408112349471
,,30.536727261125275,,66.90806404004269
,,30.413056491674908,,66.23623488997536
,,30.665368427933277,,66.60770271797747
,,30.529546843976,,67.19693440249135
,,30.70733896815759,,66.9567991971599
,,30.498054169709825,,66.77166090526829
